subject,7-up,7-down,GAD-7,BIS,BAS,SHAPS,PSWQ,Acc,Pts,WS,LS,Pers,beta,eta_p,eta_n,kappa,gad7_q01,gad7_q02,gad7_q03,gad7_q04,gad7_q05,gad7_q06,gad7_q07,gad7_q08,gad7_rt,7u7d_q01,7u7d_q02,7u7d_q03,7u7d_q04,7u7d_q05,7u7d_q06,7u7d_q07,7u7d_q08,7u7d_q09,7u7d_q10,7u7d_q11,7u7d_q12,7u7d_q13,7u7d_q14,7u7d_q15,7u7d_rt,bisbas_q01,bisbas_q02,bisbas_q03,bisbas_q04,bisbas_q05,bisbas_q06,bisbas_q07,bisbas_q08,bisbas_q09,bisbas_q10,bisbas_q11,bisbas_q12,bisbas_q13,bisbas_rt,pswq_q01,pswq_q02,pswq_q03,pswq_rt,shaps_q01,shaps_q02,shaps_q03,shaps_q04,shaps_q05,shaps_q06,shaps_q07,shaps_q08,shaps_q09,shaps_q10,shaps_q11,shaps_q12,shaps_q13,shaps_q14,shaps_q15,shaps_rt
0tztck6s2pmdsciuznilgj90,9,16,14,8,18,16,7,0.5333333333333333,47.0,0.9565217391304348,0.6511627906976745,0.28,4.325089999999999,0.813617,0.8378595,-0.0146792885033483,2,3,2,1,2,2,2,0,25.847,1,2,0,3,3,1,2,1,1,3,2,3,1,2,3,44.446,2,1,3,2,2,2,4,2,2,3,2,1,1,26.862,2,3,2,8.096,0,2,1,1,0,1,2,0,0,2,0,2,2,3,2,27.188
0vl2swi8jsl18qhae18l9lfn,0,10,2,4,17,5,6,0.7333333333333333,53.0,1.0,0.6216216216216216,0.2,11.79215,0.783912,0.8127504999999999,-0.0180617381569366,0,0,1,0,0,1,0,0,19.821,0,1,0,0,2,0,0,0,2,2,1,1,0,1,0,54.65,1,1,1,1,1,1,1,2,3,3,3,3,3,52.872,3,2,1,10.934,0,1,0,0,0,1,1,0,0,0,1,0,1,0,3,42.614
12c8bstpywx1b84b0gh2tof4,13,2,3,6,19,8,6,0.6,46.0,0.9782608695652174,0.6046511627906976,0.24,9.37938,0.4870069999999999,0.8474254999999999,-0.2700912185517064,0,0,1,0,0,0,2,0,107.89,0,0,2,1,1,2,3,3,0,1,0,0,2,0,0,239.338,1,2,2,1,1,1,2,3,3,3,2,4,3,123.659,2,3,1,18.746,0,0,0,1,1,2,1,0,1,1,1,0,0,0,3,131.811
19h68mzzzd51m1ysm4jbmlml,15,12,15,9,16,17,10,0.6444444444444445,54.0,0.9433962264150944,0.8611111111111112,0.2,3.22464,0.9290865,0.940508,-0.006109078733383,2,1,2,3,3,2,2,2,39.284,1,2,3,2,1,1,3,2,2,1,2,2,3,2,2,25.79,2,2,2,3,1,2,2,1,2,2,3,3,2,34.175,4,3,3,23.287,1,1,1,2,1,0,1,2,1,2,1,1,2,1,3,37.11
1bkivj7fl2s7bnshyc0xs9xo,13,12,13,9,17,6,7,0.6555555555555556,59.0,0.9827586206896552,0.8387096774193549,0.2133333333333333,5.62675,0.4308015,0.9527135,-0.3772362424693624,2,2,3,1,1,2,2,2,7.584,2,1,2,2,3,2,2,2,2,1,2,2,1,1,1,26.337,2,1,3,3,2,2,2,2,3,3,1,2,3,185.139,2,2,3,6.265,1,1,0,1,0,0,1,0,0,0,0,1,0,1,3,27.165
1dhmst23cwb07eov3r1qc7i1,10,7,8,10,17,11,4,0.4444444444444444,42.0,0.3170731707317073,1.0,0.2933333333333333,0.9909415,0.7844725,0.7389920000000001,0.0298533375736683,2,1,1,1,1,1,1,0,44.096,2,1,2,1,1,1,2,1,0,1,2,2,1,0,1,129.328,3,2,3,2,2,2,2,2,2,2,3,2,1,70.22,2,1,1,19.849,2,1,1,1,0,1,0,1,1,1,0,0,1,1,2,57.487
1emkh8fj8n8ujo3jfrrswpna,4,4,2,10,19,13,1,0.6222222222222222,52.0,1.0,0.7894736842105263,0.16,4.91724,0.9156615,0.97684,-0.0323267907581578,1,0,0,1,0,0,0,0,20.026,0,0,2,0,1,1,1,0,1,1,1,0,0,0,0,117.054,2,3,3,2,2,2,2,2,3,3,1,4,2,366.432,1,0,0,15.632,1,1,0,1,1,1,1,2,1,1,1,0,0,2,3,109.761
1gzcp8taimbcpvzulsjo6w7a,10,5,4,9,17,14,4,0.6444444444444445,61.0,0.9,0.9310344827586208,0.2533333333333333,3.3704850000000004,0.8464725,0.8434205,0.0018060315061367,0,0,1,1,1,1,0,0,23.635,1,1,2,1,1,2,1,1,1,1,1,0,2,0,1,115.554,3,2,2,2,2,2,2,2,2,2,2,3,3,50.405,1,2,1,14.678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,51.233
1h67fnjgm45dzniy6y91vld7,9,0,1,15,11,13,2,0.7333333333333333,52.0,0.9607843137254902,0.5789473684210527,0.1466666666666666,8.240504999999999,0.4001409999999999,0.7664595000000001,-0.314005094288919,0,0,0,1,0,0,0,0,22.298,1,0,1,1,0,1,2,1,0,0,0,0,2,0,0,590.535,4,4,4,3,2,1,1,2,1,1,1,2,3,72.517,1,0,1,7.298,1,1,1,0,1,2,2,0,1,1,1,0,2,0,3,68.149
1i545xikf02ck7ekr6psckaq,6,0,0,15,21,14,0,0.5222222222222223,37.0,0.8055555555555556,0.7735849056603774,0.2533333333333333,2.7385,0.7559845000000001,0.7043885,0.035330699759582,0,0,0,0,0,0,0,0,17.328,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,45.556,3,4,4,4,2,2,2,2,3,3,3,4,3,33.263,0,0,0,4.336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,22.673
1id28gbzeshkr8a3rjqtu7gm,7,9,7,12,17,10,6,0.5777777777777777,53.0,0.8076923076923077,0.945945945945946,0.2,3.826595,0.3417455,0.926258,-0.4609707307590239,1,1,2,0,0,2,1,0,19.075,1,1,1,1,1,1,2,0,1,2,2,1,1,1,1,49.2,4,4,2,2,1,2,1,2,3,1,4,3,3,60.391,2,3,1,10.696,0,1,1,1,2,1,0,1,0,0,1,1,1,0,3,39.862
1sxr2nbpa4aj8f9ggyd14vjn,6,0,0,11,13,11,0,0.4555555555555555,48.0,0.3617021276595745,0.9523809523809524,0.2533333333333333,1.574,0.5313755,0.8407724999999999,-0.225483694178762,0,0,0,0,0,0,0,0,29.226,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,165.648,4,2,3,2,1,1,1,2,2,2,2,2,3,98.705,0,0,0,20.275,1,1,1,0,1,1,0,1,1,1,0,1,1,1,3,88.562
1u2wyleqh3t6iqx93tokdv0k,3,8,10,5,16,7,7,0.6555555555555556,54.0,0.981132075471698,0.9166666666666666,0.12,8.05582,0.6149835,0.9876355,-0.232526882559111,2,1,2,1,1,2,1,0,33.0,0,1,1,1,2,0,0,0,1,1,1,1,1,1,0,115.469,2,1,1,1,2,1,1,3,2,2,2,3,3,66.776,2,2,3,21.481,1,0,1,1,0,1,0,0,1,0,1,0,0,1,3,55.867
1ujw1gehpdx2ufvvvly3gx69,2,0,1,11,16,20,0,0.7222222222222222,54.0,1.0,0.25,0.1733333333333333,11.7174,0.930285,0.4098555,0.3883395061935671,0,0,0,0,0,1,0,0,14.003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,122.027,3,2,3,3,2,2,2,2,2,2,2,2,3,77.208,0,0,0,17.831,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,63.777
1ww0gs6eyl6uksonzztb0ezu,0,0,0,12,17,9,0,0.5333333333333333,53.0,0.9423076923076924,0.4054054054054054,0.3333333333333333,2.738185,0.963664,0.9563175,0.0038263389517035,0,0,0,0,0,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.905,4,4,2,2,2,1,2,2,2,2,2,4,2,67.32,0,0,0,5.525,1,1,0,1,0,0,1,0,1,1,1,1,0,1,3,48.415
25fuwx9wj8mwr4avjszslbbx,6,4,9,4,16,5,6,0.6333333333333333,53.0,0.9056603773584906,0.7222222222222222,0.2,4.436030000000001,0.460594,0.785183,-0.2605514470085737,1,1,2,1,0,2,2,0,45.649,1,1,1,0,1,1,2,1,0,0,1,1,0,0,1,189.336,1,1,1,1,1,1,1,2,3,3,2,3,3,93.79,2,2,2,21.134,1,0,1,0,0,0,0,1,2,0,0,0,0,0,3,98.772
26drsd0sb4o6mw8hh3db4y8y,14,2,0,8,12,14,3,0.6555555555555556,53.0,0.981132075471698,0.9166666666666666,0.2266666666666666,8.286675,0.5906975,0.9619555,-0.2391120230985287,0,0,0,0,0,0,0,0,18.683,3,2,2,3,0,3,2,1,0,0,0,0,0,0,0,272.358,2,2,2,2,2,1,2,1,1,2,2,1,3,133.743,1,1,1,28.786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,36.056
2g95z4j2bkkzbjeeh5wex9qe,7,7,14,10,19,15,6,0.4333333333333333,35.0,0.8285714285714286,0.7777777777777778,0.2266666666666666,2.47781,0.81553,0.9832375,-0.0932346731859453,2,2,2,2,2,2,2,0,128.561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63.926,2,3,3,2,2,2,2,2,3,2,3,3,3,94.347,2,2,2,13.147,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,52.579
2gbv6cbysitn0o9t9m53f3xi,1,0,4,10,13,16,6,0.6111111111111112,47.0,1.0,0.2790697674418605,0.2933333333333333,9.81561,0.8670185,0.403324,0.3650153403511258,1,1,1,0,0,1,0,0,35.746,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,129.595,2,3,3,2,2,1,1,2,2,2,1,2,3,64.677,2,2,2,12.264,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,65.497
2l792wi6dr04cwnd2lxldsg3,1,0,0,9,9,0,3,0.5333333333333333,52.0,1.0,0.2631578947368421,0.4,16.2059,0.871705,0.665119,0.1344239808852542,0,0,0,0,0,0,0,0,13.171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61.012,3,2,2,2,1,1,2,1,1,1,1,1,3,24.958,1,1,1,7.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36.021
2leyyrsxpwbmugus6n9l7hgm,7,1,3,7,10,8,8,0.5777777777777777,56.0,0.8363636363636363,0.8823529411764706,0.2266666666666666,2.8034100000000004,0.76031,0.96003,-0.116093330388179,0,2,1,0,0,0,0,0,70.28,1,0,1,0,1,1,2,0,0,0,0,0,2,0,0,303.346,2,2,2,1,1,1,1,2,1,1,1,2,3,113.826,3,2,3,13.29,0,0,0,1,1,1,0,0,3,1,1,0,0,0,0,160.415
2n2791gfw1ojwu32i7nsvght,2,11,21,6,16,17,12,0.5222222222222223,53.0,1.0,0.5277777777777778,0.2933333333333333,10.8075,0.78552,0.9798755,-0.1100917613078769,3,3,3,3,3,3,3,0,22.221,0,1,0,0,2,0,1,0,2,2,2,1,1,1,0,125.964,2,1,1,2,1,1,1,2,3,3,2,3,3,65.629,4,4,4,8.578,2,1,2,1,1,1,1,1,2,1,1,1,1,1,3,67.375
2sdnu1yjjuxyew3zpe8nwlhb,2,3,5,11,15,8,4,0.5888888888888889,51.0,0.98,0.2051282051282051,0.2933333333333333,8.74334,0.2724284999999999,0.34314,-0.1148718623516311,1,1,1,1,0,0,1,0,34.09,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,116.659,3,2,3,3,1,1,2,2,2,2,2,3,3,68.019,0,3,1,16.374,0,0,0,0,0,2,1,0,1,1,1,1,0,1,3,70.023
2tbdv5xl54zpvqubll7hx9xl,13,9,7,10,18,10,4,0.5444444444444444,44.0,0.8372093023255814,0.8913043478260869,0.2,2.42822,0.943931,0.937771,0.0032736320628877,2,1,0,1,0,2,1,1,23.012,1,2,1,3,1,2,2,3,1,1,1,1,1,2,1,139.925,2,3,2,3,2,3,1,3,2,3,1,3,0,99.872,2,1,1,30.744,1,1,1,2,0,1,0,0,1,1,1,1,0,0,3,65.585
354ipv8jxmf3sgg4kl6iwjyg,1,14,6,4,14,3,8,0.5777777777777777,53.0,1.0,0.7297297297297297,0.2,13.05685,0.6150599999999999,0.872657,-0.1731491943696281,1,1,1,1,0,1,1,0,26.76,0,2,0,0,2,0,1,0,2,2,2,2,0,2,0,87.703,1,1,1,1,1,1,1,3,2,2,2,2,3,40.768,3,2,3,9.609,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,46.856
381z8zb2qt43qj83bpagb37k,14,14,14,8,19,12,8,0.6,50.0,0.8163265306122449,0.95,0.2133333333333333,2.75434,0.7673355,0.918481,-0.0896571483313872,2,3,2,1,2,2,2,1,39.144,3,2,2,3,2,2,2,1,1,2,2,2,1,3,2,66.612,2,3,2,1,2,2,3,2,2,3,2,3,2,53.043,3,3,2,14.819,1,1,0,1,1,1,1,1,0,1,2,1,1,0,1,93.272
3h1i9f440aazwely8ptjns7x,5,6,5,8,17,12,6,0.7666666666666667,50.0,1.0,0.5641025641025641,0.1733333333333333,7.841005,0.950302,0.543965,0.2719306522863718,1,0,1,1,0,1,1,0,19.351,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,66.107,2,2,2,2,2,1,1,2,3,3,2,3,3,61.032,2,2,2,9.477,0,1,1,0,1,1,1,1,1,1,1,1,1,1,3,50.776
3h34cgrzlp4wtlx1eo4tv73k,4,0,0,13,8,3,0,0.6111111111111112,46.0,0.9777777777777776,0.8636363636363636,0.2266666666666666,5.324525,0.7328995,0.9385385,-0.1230311863198036,0,0,0,0,0,0,0,0,15.861,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,265.812,3,4,3,3,1,1,1,1,1,1,1,1,3,35.485,0,0,0,9.025,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,45.348
3qz20dlryiffihwsltdnk6cn,4,4,0,8,16,15,4,0.3222222222222222,38.0,0.7567567567567568,0.1538461538461538,0.2,-5.700245,0.9806805,0.102824,0.8102010651547824,0,0,0,0,0,0,0,0,20.067,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,123.008,1,2,2,3,1,1,1,2,2,3,3,3,3,72.475,2,1,1,19.218,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,47.561
3xzn2gdh051u5slem3dme6y4,14,10,18,9,19,8,7,0.6333333333333333,47.0,1.0,0.7441860465116279,0.1866666666666666,11.12915,0.7715805,0.923403,-0.0895716683967719,3,2,3,3,2,2,3,0,25.39,2,2,1,2,2,1,3,2,1,2,1,1,3,1,0,126.376,1,4,2,2,2,2,1,2,3,3,3,3,3,63.557,2,2,3,13.128,1,0,1,1,0,0,0,0,1,1,1,1,1,0,3,64.783
3yg7loing1p7y2bbmo5b777o,6,15,16,6,19,6,12,0.4,37.0,0.9722222222222222,0.5471698113207547,0.3066666666666666,4.365069999999999,0.7209615,0.8433710000000001,-0.0782503080387322,2,3,3,3,2,1,2,0,35.404,1,1,0,1,2,1,1,0,2,2,3,3,2,2,0,106.385,1,2,1,2,2,1,1,3,3,3,3,3,3,56.195,4,4,4,11.892,0,1,0,0,1,0,1,1,1,0,0,0,0,1,3,58.558
4558saz9j220kta4eyyti4lz,1,0,5,8,13,0,9,0.6222222222222222,50.0,1.0,0.4102564102564102,0.2133333333333333,17.182,0.8671115,0.771352,0.0584446952892145,1,2,1,1,0,0,0,0,35.573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111.908,3,1,2,2,2,1,2,1,2,2,1,2,3,62.052,3,3,3,7.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64.087
465libnx33ipciqmfy8yh88w,1,1,0,6,11,2,1,0.6444444444444445,55.0,1.0,0.3142857142857143,0.24,5.86575,0.810441,0.602995,0.1467671688000023,0,0,0,0,0,0,0,0,29.155,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,151.082,2,1,1,2,1,2,1,1,1,1,2,2,3,107.607,1,0,0,16.48,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,65.056
48kl2yj4bk3oit3lc8y2c8qf,15,11,12,12,18,13,3,0.4111111111111111,39.0,0.282051282051282,0.8200000000000001,0.44,-9.512845,0.0009973725,0.4542195,-0.995618033687888,2,3,1,2,1,2,1,2,9.756,3,2,1,2,1,2,2,3,2,1,2,1,2,2,1,30.858,3,4,2,3,3,3,1,2,1,2,3,3,2,14.766,1,2,0,12.533,1,0,1,2,2,1,1,0,1,2,0,1,1,0,1,35.831
49siubkt857w9wa5ym6zyrss,2,20,15,6,12,3,10,0.5444444444444444,50.0,0.9387755102040816,0.975,0.1866666666666666,5.196664999999999,0.4043489999999999,0.948921,-0.4024119355339289,1,2,3,2,2,3,2,0,21.247,0,3,0,0,3,0,1,0,3,3,3,3,1,2,0,71.302,1,2,2,1,1,1,1,1,2,2,2,2,3,48.898,4,3,3,35.623,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,184.201
4kfljupnt4llnjgshhe5xho5,3,5,2,7,15,5,3,0.5666666666666667,45.0,1.0,0.2444444444444444,0.2533333333333333,6.608695,0.8672495,0.435439,0.3314764043744916,1,0,0,0,0,1,0,0,46.587,0,0,1,0,1,0,0,0,0,1,1,1,2,1,0,174.881,4,1,1,1,1,1,2,1,2,3,3,2,3,97.33,1,1,1,21.186,2,0,0,1,0,0,0,1,0,1,0,0,0,0,3,82.4
4szus5mziv7x6mwgfpa0oiq8,0,19,8,4,20,1,8,0.4222222222222222,40.0,0.925,0.6122448979591837,0.3466666666666667,8.110994999999999,0.220225,0.955872,-0.6254985770731496,3,1,1,1,0,1,1,0,27.085,0,2,0,0,3,0,0,0,3,3,3,3,0,2,0,80.775,1,1,1,1,2,2,2,2,3,3,3,3,3,59.97,3,2,3,9.745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,56.627
4vw992lb5egmeaykdxcetamb,2,1,9,4,16,5,12,0.4888888888888889,39.0,1.0,0.8431372549019608,0.2533333333333333,10.3198,0.8001115,0.992999,-0.1075714519545783,2,1,1,1,1,2,1,0,18.35,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,217.04,1,1,1,1,2,1,1,2,3,2,2,3,3,44.764,4,4,4,8.776,0,1,0,0,1,0,0,0,0,0,0,2,0,1,3,39.426
54j8pa9apq5tj4fkft6dso0v,5,4,7,8,17,6,4,0.7222222222222222,60.0,0.9661016949152542,0.5,0.12,4.881395,0.6470685,0.695669,-0.0361950865303158,1,1,2,2,0,0,1,0,21.474,0,0,1,0,1,0,2,1,0,1,1,1,1,0,0,74.533,2,2,2,2,1,1,1,2,3,3,3,3,3,45.856,2,1,1,6.089,1,0,0,0,0,1,1,0,1,0,1,0,1,0,3,37.091
54ju60u1l79ogrexh490fh3s,13,9,11,4,11,0,9,0.6555555555555556,55.0,0.9629629629629628,0.9714285714285714,0.1466666666666666,5.02557,0.8663225,0.9714015,-0.0571788799623882,2,2,2,1,1,1,2,0,13.667,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,30.19,1,1,1,1,2,1,1,1,1,2,1,2,3,30.625,3,3,3,4.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.701
5a7qv48urh69t3za7xww81ue,5,11,3,4,13,14,11,0.5111111111111111,37.0,0.7777777777777778,0.5849056603773585,0.36,8.81111,0.2275154999999999,0.7420614999999999,-0.530691218954245,0,1,1,0,0,1,0,0,36.237,0,2,1,1,1,1,1,0,2,2,1,2,1,1,0,139.151,1,1,1,1,1,1,1,1,2,2,2,3,3,71.517,4,3,4,12.907,1,1,0,1,1,1,1,2,1,1,1,1,1,1,2,66.121
5ia4n00eepgph445l075pzvt,1,1,10,9,12,8,6,0.6555555555555556,56.0,0.9636363636363636,0.3823529411764705,0.2,6.710575,0.4654805,0.588457,-0.1166829152582577,2,2,1,2,0,1,2,0,19.833,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,74.805,2,3,3,1,2,1,1,2,1,1,2,2,3,45.355,2,2,2,8.955,0,0,0,1,1,1,1,0,0,0,1,1,1,1,3,45.106
5lukl1r5qtcpaaxcy1z4k2pb,0,1,0,8,18,14,0,0.6666666666666666,52.0,0.9615384615384616,0.5135135135135135,0.2,11.66765,0.320986,0.767697,-0.4103223803439568,0,0,0,0,0,0,0,0,16.248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.394,2,2,2,2,2,1,1,2,3,3,2,4,3,43.97,0,0,0,10.478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,39.866
5m3nhzzzppo3vc3k6if20tnm,17,5,7,9,10,2,4,0.4111111111111111,42.0,0.6097560975609756,0.6875,0.3066666666666666,1.456275,0.7325225,0.9657295,-0.1373217873436922,0,1,1,2,1,0,2,0,24.308,1,2,2,2,1,3,3,3,0,1,0,0,3,1,1,129.089,2,4,2,1,1,1,1,1,1,2,2,1,1,62.647,0,4,0,111.408,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,394.317
5moe0thth6evd7ri4hpzlxwm,5,11,1,6,12,4,4,0.5777777777777777,55.0,0.9814814814814816,0.7142857142857143,0.2,6.652775,0.8491895,0.991957,-0.0775427159109826,0,0,0,1,0,0,0,0,20.435,0,1,1,1,2,0,1,1,2,2,1,2,1,1,0,73.111,1,3,1,1,1,1,1,1,2,2,1,3,3,51.676,1,2,1,12.249,0,0,0,1,1,0,0,0,1,0,0,1,0,0,3,51.668
5sg7gnocyd7oke5w09iyjmkw,2,3,0,9,14,10,6,0.4222222222222222,40.0,0.3333333333333333,0.84,0.4666666666666667,3.0532250000000003,0.7004595,0.1606675,0.6268436595298952,0,0,0,0,0,0,0,0,15.75,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,119.079,2,2,3,2,1,2,2,2,1,2,2,2,3,119.177,2,2,2,8.241,0,1,0,0,2,1,1,1,0,0,1,0,1,2,3,51.346
5tqi72vno74hjnv7elkchmn7,13,9,4,9,19,17,5,0.5,46.0,0.9555555555555556,0.5454545454545454,0.32,4.546645,0.484757,0.649466,-0.1452174748704619,1,0,0,1,1,1,0,0,19.473,2,1,1,2,1,2,2,1,1,1,2,2,3,1,0,114.074,2,3,3,1,1,1,2,3,3,3,3,3,3,49.445,2,1,2,6.06,1,1,1,1,1,2,1,3,1,1,1,1,1,1,3,43.843
